Input,Target,No.,Expression
"Diagnosis of emphysema confirmed by CT scan. If a report of past CT scan is not available at site documenting then a CT scan is to be performed at screening 
Male or female patients at least 18 years of age. 
Able and willing to sign an informed consent. 
Patient with record of congenital AAT deficiency of phenotype PiZZ (homozygote) or other rare phenotypes related to AAT deficiency and with AAT serum level ≤ 11 micromole. For patients receiving IV AAT augmentation therapy the serum AAT level threshold does not apply. 
FEV1/SVC <70% of predicted value post bronchodilator (SVC is slow VC) and FEV1 < 80% of predicted value post-bronchodilator 
History of at least two moderate or severe exacerbations that required change in treatment (antibiotics, systemic steroids, hospitalization) in the last 18 months prior to date of screening , with at least one of these occurring within the last 12 months prior to screening. 
Ability to comply with completion of electronic diary. 
Ability to self-administer inhaled AAT. 
No significant abnormalities in serum hematology, serum chemistry and serum inflammatory / immunogenic markers according to the Principal Investigator's judgment, taking into considerations the potential effects of the AAT deficiency. 
No significant abnormalities in urinalysis according to the Principal Investigator's judgment, taking into considerations the potential effects of the AAT deficiency. 
No significant abnormalities in ECG per investigator judgment. 
Negative for HBsAg and for antibodies to HCV, HIV-1.","Diagnosis of emphysema confirmed by CT scan. If a report of past CT scan is not available at site documenting then a CT scan is to be performed at screening 
Male or female patients at least 18 years of age. 
Able and willing to sign an informed consent. 
Patient with record of congenital AAT deficiency of phenotype PiZZ (homozygote) or other rare phenotypes related to AAT deficiency and with AAT serum level ≤ 11 micromole. For patients receiving IV AAT augmentation therapy the serum AAT level threshold does not apply. 
FEV1/SVC <70% of predicted value post bronchodilator (SVC is slow VC) and FEV1 < 80% of predicted value post-bronchodilator 
History of at least two moderate exacerbations or severe exacerbations that required change in treatment (antibiotics, systemic steroids, hospitalization) in the last 18 months prior to date of screening , with at least one of these occurring within the last 12 months prior to screening. 
Ability to comply with completion of electronic diary. 
Ability to self-administer inhaled AAT. 
No significant abnormalities in serum hematology, abnormalities in serum chemistry and abnormalities in serum 
inflammatory / immunogenic markers according to the Principal Investigator's judgment, taking into considerations the potential effects of the AAT deficiency. 
No significant abnormalities in urinalysis according to the Principal Investigator's judgment, taking into considerations the potential effects of the AAT deficiency. 
No significant abnormalities in ECG per investigator judgment. 
Negative for HBsAg and Negative Negative for antibodies to HCV, HIV-1.",2,"abnormalities in serum hematology, serum chemistry and serum ;
Negative for HBsAg and for antibodies to HCV, HIV-1."
"Pregnancy: Women who are pregnant or lactating. 
Asthma: Subjects with a current diagnosis of asthma. (Subjects with a prior history of asthma are eligible if they also have a current diagnosis of COPD). 
alpha 1-antitrypsin deficiency: Subjects with known alpha-1 antitrypsin deficiency as the underlying cause of COPD. 
Other respiratory disorders: Subjects with active tuberculosis, lung cancer, bronchiectasis, sarcoidosis, pulmonary fibrosis, pulmonary hypertension, interstitial lung diseases or other active pulmonary diseases. 
Lung resection or transplantation: Subjects with lung volume reduction surgery within the 12 months prior to Screening or having had a lung transplant. 
A moderate/severe COPD exacerbation that has not resolved at least 14 days prior to Visit 1 and at least 30 days following the last dose of oral corticosteroids (if applicable). 
Current severe heart and liver failure (New York Heart Association class IV). Subjects will also be excluded if they have a known ejection fraction of <30% or if they have an implantable cardioverter defibrillator (ICD). 
Other diseases/abnormalities: Any life-threatening condition with life expectancy <3 years, other than vascular disease or COPD, that might prevent the subject from completing the study.","Pregnancy: Women who are pregnant or lactating. 
Asthma: Subjects with a current diagnosis of asthma. (Subjects with a prior history of asthma are eligible if they also have a current diagnosis of COPD). 
alpha 1-antitrypsin deficiency: Subjects with known alpha-1 antitrypsin deficiency as the underlying cause of COPD. 
Other respiratory disorders: Subjects with active tuberculosis, lung cancer, bronchiectasis, sarcoidosis, pulmonary fibrosis, pulmonary hypertension, interstitial lung diseases or other active pulmonary diseases. 
Lung resection or Lung transplantation: Subjects with lung volume reduction surgery within the 12 months prior to Screening or having had a lung transplant. 
A moderate COPD exacerbation/severe COPD exacerbation that has not resolved at least 14 days prior to Visit 1 and at least 30 days following the last dose of oral corticosteroids (if applicable). 
Current severe heart failure and severe liver failure (New York Heart Association class IV). Subjects will also be excluded if they have a known ejection fraction of <30% or if they have an implantable cardioverter defibrillator (ICD). 
Other diseases/abnormalities: Any life-threatening condition with life expectancy <3 years, other than vascular disease or COPD, that might prevent the subject from completing the study.",2,"Lung resection or transplantation;
moderate/severe COPD exacerbation"
"History of other significant skin and eye diseases, or skin manifestations of allergic illness or other dermatologic condition, except chronic moderate or severe atopic dermatitis, that would interfere with the trial assessments or compromise the patient's safety.
Present symptoms of other skin diseases, except chronic atopic dermatitis, that could disturb the study assessment and evaluation of the skin 
Current use of any active systemic medication for chronic atopic dermatitis within one month 
Current use of active topical medication in the planned investigational area for chronic atopic dermatitis within two weeks 
History of a sunny holiday, UV-light therapy or solarium use within one month before beginning of study treatments, or planning such during the study or within 7 days after the study 
Allergy to cis-UCA, or any constituents of the placebo emulsion cream or any constituents of Protopic® ointment 
History of any skin- or eye-related cancer 
Congenital or acquired immunodeficiency or ongoing therapy that cause immunosuppression 
Earlier participation in a clinical study performed with cis-UCA 
Any clinically significant laboratory test result 
Suspected current drug or alcohol abuse 
Clinically significant muscle illness or fatigue during the 4 weeks prior to the first dose administration.","History of other significant skin diseases and eye diseases, or skin manifestations of allergic illness or other dermatologic condition, except chronic moderate atopic dermatitis or chronic severe atopic dermatitis, that would interfere with the trial assessments or compromise the patient's safety.
Present symptoms of other skin diseases, except chronic atopic dermatitis, that could disturb the study assessment and evaluation of the skin 
Current use of any active systemic medication for chronic atopic dermatitis within one month 
Current use of active topical medication in the planned investigational area for chronic atopic dermatitis within two weeks 
History of a sunny holiday, UV-light therapy or solarium use within one month before beginning of study treatments, or planning such during the study or within 7 days after the study 
Allergy to cis-UCA, or any constituents of the placebo emulsion cream or any constituents of Protopic® ointment 
History of any skin-related cancer or eye-related cancer 
Congenital or acquired immunodeficiency or ongoing therapy that cause immunosuppression 
Earlier participation in a clinical study performed with cis-UCA 
Any clinically significant laboratory test result 
Suspected current drug abuse or alcohol abuse 
Clinically significant muscle illness or muscle fatigue during the 4 weeks prior to the first dose administration.",5,"skin and eye diseases;
chronic moderate or severe atopic dermatitis;
skin- or eye-related cancer ;
drug or alcohol abuse;
muscle illness or fatigue"
"Severe hepatitis activity as documented by ALT>10 x ULN
History of decompensated cirrhosis (defined as jaundice in the presence of cirrhosis, ascites, bleeding gastric or esophageal varices or encephalopathy)
Pre-existent neutropenia (neutrophils <1,500/mm3) or thrombocytopenia (platelets < 90,000/mm3)
Co-infection with hepatitis C or D virus or human immunodeficiency virus (HIV)
Other acquired or inherited causes of liver disease: alcoholic, obesity induced, drug related liver diseases and auto-immune hepatitis, hemochromatosis, Wilson's disease or alpha-1 antitrypsin deficiency
Alpha fetoprotein > 50 ng/ml
Hyper- or hypothyroidism (subjects requiring medication to maintain TSH levels in the normal range are eligible if all other inclusion/exclusion criteria are met)
Immune suppressive treatment within the previous 6 months
Contra-indications for alfa-interferon therapy like suspected hypersensitivity to interferon or Peginterferon or any known pre-existing medical condition that could interfere with the patient's participation in and completion of the study.
Pregnancy, breast-feeding
Other significant medical illness that might interfere with this study: significant pulmonary dysfunction in the previous 6 months, malignancy other than skin basocellular carcinoma in previous 5 years, immunodeficiency syndromes (e.g. HIV positivity, auto-immune diseases, organ transplants other than cornea and hair transplant)","Severe hepatitis activity as documented by ALT>10 x ULN
History of decompensated cirrhosis (defined as jaundice in the presence of cirrhosis, ascites, bleeding gastric or esophageal varices or encephalopathy)
Pre-existent neutropenia (neutrophils <1,500/mm3) or thrombocytopenia (platelets < 90,000/mm3)
Co-infection with hepatitis C virus or hepatitis D virus or human immunodeficiency virus (HIV)
Other acquired or inherited causes of liver disease: alcoholic liver disease, obesity induced liver disease, drug related liver diseases and auto-immune hepatitis, hemochromatosis, Wilson's disease or alpha-1 antitrypsin deficiency
Alpha fetoprotein > 50 ng/ml
Hyper-thyroidism or hypothyroidism (subjects requiring medication to maintain TSH levels in the normal range are eligible if all other inclusion/exclusion criteria are met)
Immune suppressive treatment within the previous 6 months
Contra-indications for alfa-interferon therapy like suspected hypersensitivity to interferon or Peginterferon or any known pre-existing medical condition that could interfere with the patient's participation in and completion of the study.
Pregnancy, breast-feeding
Other significant medical illness that might interfere with this study: significant pulmonary dysfunction in the previous 6 months, malignancy other than skin basocellular carcinoma in previous 5 years, immunodeficiency syndromes (e.g. HIV positivity, auto-immune diseases, organ transplants other than cornea transplant and hair transplant)",3,"hepatitis C or D virus;
alcoholic, obesity induced, drug related liver diseases ;
Hyper- or hypothyroidism;"
"neurological diseases 
previous pelvic surgeries 
diabetes I or II
cognitive difficulties 
vaginal and urinary infection   7. The patient has a concurrent chronic or acute illness, disability, or other condition (including significant unexpected laboratory or electrocardiogram [ECG] findings) that might confound the results of the tests and/or measurements administered in this study, or that might have increased the risk to the subject. 
8. Known or suspected intolerance or hypersensitivity to the investigational product(s), closely-related compounds, or any of the stated ingredients. 
9. Prior enrollment failure or randomization in this study. 
10. History of alcohol or other substance abuse within the last year.","neurological diseases 
previous pelvic surgeries 
diabetes I or diabetes II
cognitive difficulties 
vaginal infection and urinary infection   7. The patient has a concurrent illness chronic illness or acute illness, disability, or other condition (including significant unexpected laboratory or electrocardiogram [ECG] findings) that might confound the results of the tests and/or measurements administered in this study, or that might have increased the risk to the subject. 
8. Known or suspected intolerance  to the investigational product(s) or hypersensitivity to the investigational product(s), closely-related compounds, or any of the stated ingredients. 
9. Prior enrollment failure or randomization in this study. 
10. History of alcohol abuse or other substance abuse within the last year.",2,"diabetes I or II;
chronic or acute illness, "
"Serious suicidal tendency
The score of the sixth item of HAMA =3
The score of HAMD =21
Pregnant or lactating women
History of allergic or hypersensitivity to tandospirone
Serious or unstable cardiac, renal, neurologic, cerebrovascular, metabolic, or pulmonary disease
Secondary anxiety disorders
Drug or alcohol dependence within 1 year
Patients currently taking benzodiazepine drugs
Drivers and dangerous machine operators
Participated in other clinical studies in the last 30 days
Patients with clinically significant ECG or laboratory abnormalities
Patients with a history of epilepsy
Patients with abnormal TSH or AST concentration","Serious suicidal tendency
The score of the sixth item of HAMA =3
The score of HAMD =21
Pregnant women or lactating women
History of allergic to tandospirone or hypersensitivity to tandospirone
Serious or unstable cardiac disease, renal disease, neurologic disease, cerebrovascular disease, metabolic disease, or pulmonary disease
Secondary anxiety disorders
Drug dependence or alcohol dependence within 1 year
Patients currently taking benzodiazepine drugs
Drivers and dangerous machine operators
Participated in other clinical studies in the last 30 days
Patients with clinically significant ECG abnormalities or laboratory abnormalities
Patients with a history of epilepsy
Patients with abnormal TSH concentration or abnormal AST concentration",4," allergic or hypersensitivity to tandospirone;
cardiac, renal, neurologic, cerebrovascular, metabolic, or pulmonary disease;
ECG or laboratory abnormalities;
TSH or AST concentration"
"Patients with a history of an untreated malignancy (except local skin and breast cancers)
Ischemic stroke (determined using the Questionnaire for Verifying Stroke-Free Status (QVSFS)
Patients on renal dialysis or with end-stage hepatic dysfunction
Acute infection/inflammation (Temperature > 101.5 F, and/or WBC> 15, 000)
Inability to obtain informed consent from patient or next of kin
Anticoagulant use (warfarin or heparin)
underlying lung or heart disease
contra indication to dexamethasone
immune deficient state
preterm birth
previous intubation or apnea history","Patients with a history of an untreated malignancy (except local skin cancers and breast cancers)
Ischemic stroke (determined using the Questionnaire for Verifying Stroke-Free Status (QVSFS)
Patients on renal dialysis or with end-stage hepatic dysfunction
Acute infection/Acute inflammation (Temperature > 101.5 F, and/or WBC> 15, 000)
Inability to obtain informed consent from patient or next of kin
Anticoagulant use (warfarin or heparin)
underlying lung disease or underlying heart disease
contra indication to dexamethasone
immune deficient state
preterm birth
previous intubation history or apnea history",4,"skin and breast cancers;
Acute infection/inflammation;
underlying lung or heart disease;
intubation or apnea history"
"Evidence of significant hepatic, hematologic, or immunologic impairment. 
History or presence of any clinically significant disease or disorder 
Any condition or disease that would render the subject unsuitable for the study, place the subject at undue risk or interfere with the ability of the subject to complete the study in the opinion of the investigator 
History of clinically significant hypersensitivity or allergic drug reactions 
Any suspicion or history of alcohol abuse and/or consumption of other drugs of abuse 
Regular smoker (> 5 cigarettes, > 1 pipeful or > 1 cigar per day) 
Positive for hepatitis B , C or HIV infection","Evidence of significant hepatic impairment, hematologic impairment, or immunologic impairment. 
History or presence of any clinically significant disease or clinically significant disorder 
Any condition or disease that would render the subject unsuitable for the study, place the subject at undue risk or interfere with the ability of the subject to complete the study in the opinion of the investigator 
History of clinically significant hypersensitivity drug reactions or allergic drug reactions 
Any suspicion or history of alcohol abuse and/or alcohol consumption of other drugs of abuse 
Regular smoker (> 5 cigarettes, > 1 pipeful or > 1 cigar per day) 
Positive for hepatitis B infection, hepatitis C infection or HIV infection",5,"hepatic, hematologic, or immunologic impairment;
clinically significant disease or disorder;
hypersensitivity or allergic drug reactions; 
alcohol abuse and/or consumption;
hepatitis B , C or HIV infection"
"intolerance of or allergy to ticagrelor or prasugrel
history of any stroke, transient ischemic attack or intracranial bleeding
known intracranial neoplasm, arteriovenous malformation or aneurysm
active bleeding, clinical findings, that in the judgement of the investigator are associated with an increased risk of bleeding
fibrin-specific fibrinolytic therapy less than 24 h before randomization, non-fibrin-specific fibrinolytic therapy less than 48 h before randomization
known platelet count < 100.000/µL at the time of screening
known anemia (hemoglobin <10 g/dL) at the time of screening
oral anticoagulation that cannot be safely discontinued for the duration of the study
INR known to be greater than 1.5 at the time of screening
chronic renal insufficiency requiring dialysis
moderate or severe hepatic dysfunction (Child Pugh B or C)
increased risk of bradycardia events (Sick Sinus, AV block grade II or III, bradycardia-induced syncope)
index event is an acute complication (< 30 days) of PCI
concomitant medical illness that in the opinion of the investigator is associated with a life expectancy < 1 year","intolerance of ticagrelor or allergy to ticagrelor or intolerance of prasugrel or allergy to prasugrel
history of any stroke, transient ischemic attack or intracranial bleeding
known intracranial neoplasm, intracranial arteriovenous malformation or intracranial aneurysm
active bleeding, clinical findings, that in the judgement of the investigator are associated with an increased risk of bleeding
fibrin-specific fibrinolytic therapy less than 24 h before randomization, non-fibrin-specific fibrinolytic therapy less than 48 h before randomization
known platelet count < 100.000/µL at the time of screening
known anemia (hemoglobin <10 g/dL) at the time of screening
oral anticoagulation that cannot be safely discontinued for the duration of the study
INR known to be greater than 1.5 at the time of screening
chronic renal insufficiency requiring dialysis
moderate hepatic dysfunction or severe hepatic dysfunction (Child Pugh B or C)
increased risk of bradycardia events (Sick Sinus, AV block grade II or III, bradycardia-induced syncope)
index event is an acute complication (< 30 days) of PCI
concomitant medical illness that in the opinion of the investigator is associated with a life expectancy < 1 year",1,moderate or severe hepatic dysfunction
"A 71-year-old African American female with a medical history of hypertension, type 2 diabetes mellitus, stage 3 chronic kidney disease, and osteoarthritis initially presented to the emergency room with intermittent bilateral hand tingling and numbness, which was gradual in onset over months. Her symptoms were associated with seeing red spots and experiencing pain and burning sensation in the bottom of her feet. She was concerned because she was having difficulty picking up objects due to her hand symptoms. Her basic lab work was unremarkable, and she was provided gabapentin and magnesium oxide with close follow-up with her primary care physician. At follow-up, she complained of one to two months of unsteady gait as well as increased confusion. Her reported medications included losartan and metformin.","A 71-year-old African American female with a medical history of hypertension, type 2 diabetes mellitus, stage 3 chronic kidney disease, and osteoarthritis initially presented to the emergency room with intermittent bilateral hand tingling and bilateral hand numbness, which was gradual in onset over months. Her symptoms were associated with seeing red spots and experiencing pain n the bottom of her feet and burning sensation in the bottom of her feet. She was concerned because she was having difficulty picking up objects due to her hand symptoms. Her basic lab work was unremarkable, and she was provided gabapentin and magnesium oxide with close follow-up with her primary care physician. At follow-up, she complained of one to two months of unsteady gait as well as increased confusion. Her reported medications included losartan and metformin.",2,"bilateral hand tingling and numbness;  
pain and burning sensation in the bottom of her feet;
"
"patient is a 78-year-old male with a past medical history of cutaneous T-cell lymphoma/mycosis fungoides (on regular outpatient extracorporeal photopheresis), type II diabetes mellitus, atrial flutter on Xarelto, and sick sinus syndrome on dual-chamber pacemaker, presented to the hospital with right upper quadrant abdominal pain. The patient was a former smoker and denied any alcohol use.\nIn the emergency department, he was hemodynamically stable. Laboratory workup was significant for abnormally elevated liver and kidney function tests including aspartate aminotransferase/alanine aminotransferase (AST/ALT) of 204/188 U/L, alkaline phosphatase (ALP) of 550 U/L, and total bilirubin of 2.5 mg/dL. Ultrasound of the abdomen was negative for any focal liver or gallbladder lesions. There was no evidence of intrahepatic or extrahepatic biliary duct dilation. Hepatobiliary iminodiacetic acid (HIDA) scan was normal, and hence cholecystitis was ruled out. CT abdomen and pelvis and CT angiography of the chest were negative for acute pathology.","patient is a 78-year-old male with a past medical history of cutaneous T-cell lymphoma/mycosis fungoides (on regular outpatient extracorporeal photopheresis), type II diabetes mellitus, atrial flutter on Xarelto, and sick sinus syndrome on dual-chamber pacemaker, presented to the hospital with right upper quadrant abdominal pain. The patient was a former smoker and denied any alcohol use.\nIn the emergency department, he was hemodynamically stable. Laboratory workup was significant for abnormally elevated liver and abnormally elevated kidney function tests including aspartate aminotransferase/alanine aminotransferase (AST/ALT) of 204/188 U/L, alkaline phosphatase (ALP) of 550 U/L, and total bilirubin of 2.5 mg/dL. Ultrasound of the abdomen was negative for any focal liver lesions or gallbladder lesions. There was no evidence of intrahepatic or extrahepatic biliary duct dilation. Hepatobiliary iminodiacetic acid (HIDA) scan was normal, and hence cholecystitis was ruled out. CT abdomen and pelvis and CT angiography of the chest were negative for acute pathology.",1,liver or gallbladder lesions
"A 33-year-old female with no prior medical comorbidities, who recently gave birth to a healthy girl child four months ago, was brought to the emergency department with sudden onset weakness of both upper and lower limbs that started four days prior and rapidly progressed to a state of quadriplegia. She was conscious and obeyed simple commands with eyes and mouth; however, she had severe dysarthria. She had bilateral facial and bulbar palsy. She had flaccid, hyporeflexic, pure motor quadriplegia with limbs showing only a subtle withdrawal flicker to pain. MRI of the brain revealed hyperintensity in the central pons in diffusion-weighted images (Figure ), T2-weighted images (Figure ), and fluid-attenuated inversion recovery (FLAIR) images (Figure ) without abnormal contrast enhancement (Figure ), consistent with central pontine myelinolysis (CPM) (Figure ).\nThe biochemical analysis showed hypernatremia while the remaining electrolytes were normal.","A 33-year-old female with no prior medical comorbidities, who recently gave birth to a healthy girl child four months ago, was brought to the emergency department with sudden onset weakness of both upper limbs and lower limbs that started four days prior and rapidly progressed to a state of quadriplegia. She was conscious and obeyed simple commands with eyes and obeyed simple commands with mouth; however, she had severe dysarthria. She had bilateral facial palsy and bulbar palsy. She had flaccid, hyporeflexic, pure motor quadriplegia with limbs showing only a subtle withdrawal flicker to pain. MRI of the brain revealed hyperintensity in the central pons in diffusion-weighted images (Figure ), T2-weighted images (Figure ), and fluid-attenuated inversion recovery (FLAIR) images (Figure ) without abnormal contrast enhancement (Figure ), consistent with central pontine myelinolysis (CPM) (Figure ).\nThe biochemical analysis showed hypernatremia while the remaining electrolytes were normal.",1,upper and lower limbs
"A 23-year-old male with a history of exercise-induced asthma presented to the emergency department complaining of left- and right-sided chest pain which started two days after receiving the second dose of the mRNA-1273 Moderna vaccine. The patient described the pain as sharp, intermittent with radiation to the left upper back and left arm with 10/10 severity and worsening with deep inspiration. Fever and chills were also present. The patient did not report any recent history of tick bites, upper respiratory symptoms, paroxysmal nocturnal dyspnea (PND), orthopnea, arthralgias or rashes.\nOn physical examination the patient was in no distress, with normal vital signs, normal S1/S2 heart sounds without any murmurs, rubs, or gallops and no jugular vein distention (JVD). There was no palpable tenderness of the chest wall. The lungs were clear to auscultation. There was no pitting edema in the lower extremities.","A 23-year-old male with a history of exercise-induced asthma presented to the emergency department complaining of left-sided chest pain and right-sided chest pain which started two days after receiving the second dose of the mRNA-1273 Moderna vaccine. The patient described the pain as sharp, intermittent with radiation to the left upper back and radiation to left arm with 10/10 severity and worsening with deep inspiration. Fever and chills were also present. The patient did not report any recent history of tick bites, upper respiratory symptoms, paroxysmal nocturnal dyspnea (PND), orthopnea, arthralgias or rashes.\nOn physical examination the patient was in no distress, with normal vital signs, normal S1/S2 heart sounds without any murmurs, rubs, or gallops and no jugular vein distention (JVD). There was no palpable tenderness of the chest wall. The lungs were clear to auscultation. There was no pitting edema in the lower extremities.",1,left- and right-sided chest pain
"An 18-year-old male patient presented to the emergency department with right hip and knee pain for two weeks. Examination revealed pain and mild to moderate tenderness and rash in the right hip joint. The range of motion was decreased, and trying to initiate movement caused severe pain to the extent that the patient could not walk for gait assessment. Past history revealed similar but less severe episodes for the last four years. There was no history of fever, skin rash, or acne. His inflammatory laboratory investigations, including erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP), were within the normal limits.","An 18-year-old male patient presented to the emergency department with right hip pain and right knee pain for two weeks. Examination revealed pain and mild tenderness in the right hip joint and rash in the right hip joint to moderate tenderness in the right hip joint and rash in the right hip joint. The range of motion was decreased, and trying to initiate movement caused severe pain to the extent that the patient could not walk for gait assessment. Past history revealed similar but less severe episodes for the last four years. There was no history of fever, skin rash, or acne. His inflammatory laboratory investigations, including erythrocyte sedimentation rate (ESR) and C-reactive protein (CRP), were within the normal limits.",1,mild to moderate tenderness and rash in the right hip joint
"A 35-year-old male patient presented with a six-month history of pain in the anterior chest and neck. His pain initially had been mild but had become severe in the last three weeks. He was afebrile and did not have any constitutional symptoms. On examination, marked tenderness of the right sternoclavicular joint was noted. Initial laboratory investigations, tuberculosis workup, and chest X-rays were unremarkable. However, further study with MRI revealed subchondral bone marrow edema and enhancement involving the medial end of the right clavicle. In addition, mild effusion of the right sternoclavicular joint and surrounding soft-tissue edema was also seen (Figure , ).\nGiven the patient's radiological and clinical findings, suspicion of SAPHO syndrome was raised. He was given an initial trial of paracetamol and NSAIDs and he showed remarkable improvement on his monthly follow-up visits. Though a biopsy was offered, the patient refused to undergo one and has shown no relapse to date thanks to the dramatic response to NSAIDs.","A 35-year-old male patient presented with a six-month history of pain in the anterior chest and pain in neck. His pain initially had been mild but had become severe in the last three weeks. He was afebrile and did not have any constitutional symptoms. On examination, marked tenderness of the right sternoclavicular joint was noted. Initial laboratory investigations, tuberculosis workup, and chest X-rays were unremarkable. However, further study with MRI revealed subchondral bone marrow edema and enhancement involving the medial end of the right clavicle. In addition, mild effusion of the right sternoclavicular joint and surrounding soft-tissue edema was also seen (Figure , ).\nGiven the patient's radiological and clinical findings, suspicion of SAPHO syndrome was raised. He was given an initial trial of paracetamol and NSAIDs and he showed remarkable improvement on his monthly follow-up visits. Though a biopsy was offered, the patient refused to undergo one and has shown no relapse to date thanks to the dramatic response to NSAIDs.",1,pain in the anterior chest and neck
"A 22-year-old male presented in the emergency department with acute onset of swelling and redness over the right side of the neck and chest wall for the last three days. He had features of septicemia such as drowsiness or Glasgow Coma Scale score of 11/15, respiratory rate of 26 breaths per minute, pulse rate of 130 beats per minute, blood pressure of 84/56 mmHg, and urine output of 15 mL/hour. He had no history of chronic disease, drug reaction, trauma, unknown bite, or significant familial disease. Blood investigations revealed low hemoglobin of 7.6 g/dL, raise leukocyte count of 28000/mm3, low albumin of 2.2 g/dL, raised serum creatinine of 2.23 mg/dL, serum urea of 174 mg/dL, and low sodium of 125 mEq/L. Serological markers including erythrocyte sedimentation rate (95 mm/hour) and procalcitonin (25.2 ng/mL) were higher. X-ray of the chest was grossly normal (Figure ), and contrast-enhanced computed tomography (CECT) of the neck revealed irregular, well-defined, hypodense,","A 22-year-old male presented in the emergency department with acute onset of swelling over the right side of the neck and redness over the right side of the neck and swelling over the right side of the chest wall redness over the right side chest wall for the last three days. He had features of septicemia such as drowsiness or Glasgow Coma Scale score of 11/15, respiratory rate of 26 breaths per minute, pulse rate of 130 beats per minute, blood pressure of 84/56 mmHg, and urine output of 15 mL/hour. He had no history of chronic disease, drug reaction, trauma, unknown bite, or significant familial disease. Blood investigations revealed low hemoglobin of 7.6 g/dL, raise leukocyte count of 28000/mm3, low albumin of 2.2 g/dL, raised serum creatinine of 2.23 mg/dL, serum urea of 174 mg/dL, and low sodium of 125 mEq/L. Serological markers including erythrocyte sedimentation rate (95 mm/hour) and procalcitonin (25.2 ng/mL) were higher. X-ray of the chest was grossly normal (Figure ), and contrast-enhanced computed tomography (CECT) of the neck revealed irregular hypodense, well-defined, hypodense,",1,swelling and redness over the right side of the neck and chest wall
"A 41-year-old Japanese woman presented to our clinic with a 4 month history of bilateral groin and right buttock pain. Her right hip was more painful than her left hip. There was no history of trauma, alcohol abuse, or steroid use. Her medical history included iron-deficiency anemia diagnosed 2 years earlier, after which she had been on iron supplements. She had no fracture episodes, including fragility fractures.\nHer height, body weight, and body mass index were 155 cm, 42 kg, and 18.7 kg/m2, respectively. She was able to walk for approximately 10 minutes without a stick, albeit at a slow speed. Limitations in the passive motion of her bilateral hip joint were observed","A 41-year-old Japanese woman presented to our clinic with a 4 month history of bilateral groin pain and right buttock pain. Her right hip was more painful than her left hip. There was no history of trauma, alcohol abuse, or steroid use. Her medical history included iron-deficiency anemia diagnosed 2 years earlier, after which she had been on iron supplements. She had no fracture episodes, including fragility fractures.\nHer height, body weight, and body mass index were 155 cm, 42 kg, and 18.7 kg/m2, respectively. She was able to walk for approximately 10 minutes without a stick, albeit at a slow speed. Limitations in the passive motion of her bilateral hip joint were observed",1,groin and right buttock pain
"This is a case of a 4-year-old male who was brought to our clinic with complaints of four-day history of constipation, dry cough, vomiting, high fever (104 °F), abdominal and chest pain, headache, and rash. The patient’s symptoms started gradually with fatigue, loss of appetite, muscle aches, cough, bloated abdomen, and poor oral intake, prior to presenting to the hospital. The parents assumed it was stomach flu, and so managed their child’s symptoms with Tylenol and soups. However, the patient continued to have constipation, abdominal discomfort, and eventually maculo-papular rashes on the head, face, and extremities erupted (Figure ).\nOn day 1, upon admission to the hospital, IV fluid with 0.9% normal saline solution was started, due to signs of dehydration, bradycardia, and hypotension. Norepinephrine was also administered.","This is a case of a 4-year-old male who was brought to our clinic with complaints of four-day history of constipation, dry cough, vomiting, high fever (104 °F), abdominal pain and chest pain, headache, and rash. The patient’s symptoms started gradually with fatigue, loss of appetite, muscle aches, cough, bloated abdomen, and poor oral intake, prior to presenting to the hospital. The parents assumed it was stomach flu, and so managed their child’s symptoms with Tylenol and soups. However, the patient continued to have constipation, abdominal discomfort, and eventually maculo-papular rashes on the head, maculo-papular rashes on the face, and maculo-papular rashes on the extremities erupted (Figure ).\nOn day 1, upon admission to the hospital, IV fluid with 0.9% normal saline solution was started, due to signs of dehydration, bradycardia, and hypotension. Norepinephrine was also administered.",2,"abdominal and chest pain;
maculo-papular rashes on the head, face, and extremities"
"A 77-year-old woman was hospitalized in the cardiology department due to atrial fibrillation. Contraindications were excluded, and atrial fibrillation (AF) ablation was performed on an optional schedule. However, abdominal contrast-enhanced computed tomography (CT) scan found a circular and low-density lesion in the Segment 4 of the liver with unclear border, approximately 15 mm× 12 mm in size, which was mild progressive enhanced in the arterial and portal phase. HCC was suspected, but no hepatic cirrhosis and history of hepatitis (). Tumor markers, including CEA, CA199, CA125, AFP, were within normal range, hepatitis panel was negative, and hepatic function was normal.\nTo confirm the diagnosis, the patient underwent further examinations.","A 77-year-old woman was hospitalized in the cardiology department due to atrial fibrillation. Contraindications were excluded, and atrial fibrillation (AF) ablation was performed on an optional schedule. However, abdominal contrast-enhanced computed tomography (CT) scan found a circular lesion in the Segment 4 of the liver and low-density lesion in the Segment 4 of the liver with unclear border, approximately 15 mm× 12 mm in size, which was mild progressive enhanced in the arterial phase and portal phase. HCC was suspected, but no hepatic cirrhosis and history of hepatitis (). Tumor markers, including CEA, CA199, CA125, AFP, were within normal range, hepatitis panel was negative, and hepatic function was normal.\nTo confirm the diagnosis, the patient underwent further examinations.",1,arterial and portal phase
